icon,name,damage
Wooden_Arrow.png,https://terraria.fandom.com/wiki/Wooden_Arrow,5
Flaming_Arrow.png,https://terraria.fandom.com/wiki/Flaming_Arrow,7
Unholy_Arrow.png,https://terraria.fandom.com/wiki/Unholy_Arrow,52
Jesters_Arrow.png,https://terraria.fandom.com/wiki/Jester%27s_Arrow,10
Hellfire_Arrow.png,https://terraria.fandom.com/wiki/Hellfire_Arrow,13
Holy_Arrow.png,https://terraria.fandom.com/wiki/Holy_Arrow,13
Cursed_Arrow.png,https://terraria.fandom.com/wiki/Cursed_Arrow,17
Frostburn_Arrow.png,https://terraria.fandom.com/wiki/Frostburn_Arrow,7
Chlorophyte_Arrow.png,https://terraria.fandom.com/wiki/Chlorophyte_Arrow,16
Ichor_Arrow.png,https://terraria.fandom.com/wiki/Ichor_Arrow,16
Venom_Arrow.png,https://terraria.fandom.com/wiki/Venom_Arrow,19
Bone_Arrow.png,https://terraria.fandom.com/wiki/Bone_Arrow,8
Endless_Quiver.png,https://terraria.fandom.com/wiki/Endless_Quiver,5
Luminite_Arrow.png,https://terraria.fandom.com/wiki/Luminite_Arrow,8
Spectral_Arrow.png,https://terraria.fandom.com/wiki/Spectral_Arrow,15
Vulcan_Bolt.png,https://terraria.fandom.com/wiki/Vulcan_Bolt,16
Heart_Arrow.png,https://terraria.fandom.com/wiki/Heart_Arrow,4
Shimmer_Arrow.png,https://terraria.fandom.com/wiki/Shimmer_Arrow,12
